141,0,0
143,1,0
237,2,0
345,3,0
379,4,0
391,5,0
419,6,0
497,7,0
59,2,7
109,5,20
1,0,27
4,7,28
21,3,32
41,7,32
87,6,38
20,2,39
64,4,40
54,1,41
18,2,44
38,1,46
2,6,47
518,7,74
526,7,66
630,7,60
800,7,64
915,7,60
934,7,62
946,7,94
1041,7,83
1058,7,109
1140,7,141
1143,7,169
1264,7,178
1270,7,195
1294,7,197
1393,7,216
1534,7,250
1611,7,264
1641,7,314
1736,7,353
1752,7,376
1912,7,403
1933,7,443
1945,7,489
1949,7,506
1985,7,548
1998,7,556
2140,7,565
2268,7,593
2272,7,623
2282,7,671
2345,7,674
2437,7,686
2445,7,715
2496,7,755
2538,7,756
2581,7,777
2620,7,816
2637,7,821
2642,7,856
2726,7,859
2735,7,884
2761,7,912
2764,7,960
2770,7,987
2802,7,1035
2849,7,1037
2893,7,1072
2897,7,1083
2924,7,1094
3047,7,1104
3066,7,1137
3083,7,1164
3102,7,1190
3178,7,1232
3227,7,1245
3241,7,1247
3242,7,1277
3260,7,1305
3267,7,1353
3272,7,1369
3315,7,1405
3326,7,1448
3341,7,1489
3354,7,1515
3381,7,1564
3388,7,1580
3426,7,1590
3427,7,1608
3480,7,1639
3503,7,1689
3514,7,1705
3607,7,1709
3631,7,1710
3739,7,1729
3875,7,1775
3969,7,1779
3997,7,1784
4012,7,1821
4018,7,1844
4041,7,1865
4054,7,1894
4060,7,1936
4113,7,1944
4173,7,1963
4266,7,1967
4391,7,1989
4440,7,2022
4461,7,2045
4769,7,2081
4844,7,2090
4971,7,2108
36,7,2154
57,7,2192
127,7,2198
129,7,2235
154,7,2259
164,7,2278
165,7,2324
343,7,2349
352,7,2395
390,7,2424
415,7,2470
612,7,2488
632,7,2504
656,7,2516
740,7,2522
754,7,2562
760,7,2602
817,7,2636
858,7,2637
922,7,2660
986,7,2705
1023,7,2730
1072,7,2752
1126,7,2781
1183,7,2821
1202,7,2839
1241,7,2884
1243,7,2917
1295,7,2956
1310,7,2987
1323,7,3031
1361,7,3069
1404,7,3088
1445,7,3131
1461,7,3153
1509,7,3165
1517,7,3190
1544,7,3202
1578,7,3207
1593,7,3211
1625,7,3238
1730,7,3252
1795,7,3257
1850,7,3304
1857,7,3341
1900,7,3350
1972,7,3363
2005,7,3373
2076,7,3394
2085,7,3431
2094,7,3481
2111,7,3507
2142,7,3552
2183,7,3575
2189,7,3584
2206,7,3605
2212,7,3650
2231,7,3664
2287,7,3667
2486,7,3712
2604,7,3756
2621,7,3757
2669,7,3787
2886,7,3816
2940,7,3845
3125,7,3887
3274,7,3891
3522,7,3926
3535,7,3935
3543,7,3961
3582,7,3983
3589,7,4032
3626,7,4057
3633,7,4096
3676,7,4143
3690,7,4172
3698,7,4188
3767,7,4225
3771,7,4264
3908,7,4313
4049,7,4362
4051,7,4380
4142,7,4430
4154,7,4468
4208,7,4469
4215,7,4519
4263,7,4529
4316,7,4546
4336,7,4562
4351,7,4588
4477,7,4617
4488,7,4666
4569,7,4713
4584,7,4751
4591,7,4763
4821,7,4764
4886,7,4768
4922,7,4801
4957,7,4816
9,7,4851
102,7,4867
268,7,4879
412,7,4898
433,7,4924
483,7,4967
511,7,5011
554,7,5034
665,7,5065
717,7,5075
728,7,5087
768,7,5104
806,7,5143
834,7,5173
882,7,5198
884,7,5239
901,7,5270
903,7,5289
954,7,5332
989,7,5343
1135,7,5379
1257,7,5406
1316,7,5452
1325,7,5478
1351,7,5508
1560,7,5533
1632,7,5575
1662,7,5607
1749,7,5638
1765,7,5668
1784,7,5694
1791,7,5695
1793,7,5713
1806,7,5741
2065,7,5752
2074,7,5779
2131,7,5820
2188,7,5847
2239,7,5849
2255,7,5868
2278,7,5871
2290,7,5878
2331,7,5928
2468,7,5941
2509,7,5965
2553,7,5985
2636,7,5999
2717,7,6023
2749,7,6067
2755,7,6071
2800,7,6093
2823,7,6136
3040,7,6139
3080,7,6182
3121,7,6221
3249,7,6252
3384,7,6300
3488,7,6332
3577,7,6360
3612,7,6366
3834,7,6371
4285,7,6410
4321,7,6440
4401,7,6468
4468,7,6471
4483,7,6517
4558,7,6558
4635,7,6576
4860,7,6591
4897,7,6638
4898,7,6660
4901,7,6667
4921,7,6699
4924,7,6703
4949,7,6746
4950,7,6755
4963,7,6804
4981,7,6841
29,7,6858
32,7,6884
66,7,6896
161,7,6945
